अ     a
अंगिरस      angairs
अंगिरा      angairaa
अंगीकरण   angaikrn
अंगीकार   angaikaar
अंगीकृत   angaikrit
अंगीठी      angaithi
अंगीभूत   angaibhut
अंगुठी      angauthi
अंगुत्तर        angauttr
अंगुल angaul
अंगुलबेढ़ा     angaulberhaa
अंगुलाग्र     angaulaagra
अंगुलि      anguli
अंगुलित्र     angulitra
अंगुलिनिर्देश angulinirdesh
अंगुलियाँ     anguliyaan
अंगुलियों     anguliyon
अंगुलिहीन     angulihin
अंगुलिहीनता       angulihintaa
अंगुली      anguli
अंगुश्त   angusht
अंगुश्तनुमा       angushtnuma
अंगुश्ताना  angushtaana
अंगुष्ठ   angusth
अंगूठा      anguthaa
अंगूठियों     anguthiyon
अंगूठी      anguthi
अंगूठे      anguthe
अंगूठों   anguthon
अंगूर angur
अंगूरी      anguri
अंगूरों   anguron
अंगो    ango
अंगों angon
अंगोच्छेदन  angochchhedan
अंगोछना   angochhnaa
अंगोछा      angochhaa
अंगोरा      angora
अंगोरा      angora
अंगोला      angola
अंग्रजी   angareji
अंग्रजों        angarjon
अंग्रेज   angarej
अंग्रेजी        angareji
अंग्रेजी़     angarejie
अंग्रेजो        angarejo
अंग्रेजों     angarejon
अंग्रेज़   angarez
अंग्रेज़ियत  angareziyt
अंग्रेज़ी        angarezi
अंग्रेज़ो        angarezo
अंगड़ाई      angadaaee
अंचल    anchl
अंचलों      anchlon
अंजन    anjn
अंजनहारी        anjnhaari
अंजना anjnaa
अंजनी anjni
अंजलि anjli
अंजली anjli
अंजान anjaan
अंजाने      anjaane
अंजाम anjaam
अंजीर anjir
अंजुम anjum
अंजुमन      anjumn
अंजू    anju
अंटा    antaa
अंटार्कटिक  antaarktik
अंटार्कटिका       antaarktikaa
अंटार्टिका  antaartikaa
अंटी    anti
अंड       and
अंडकोश      andkosh
अंडकोष      andkos
अंडकोषीय        andkosiy
अंडखोल      andkhol
अंडप    andp
अंडमान      andmaan
अंडमानी   andmaani
अंडर    andr
अंडरआर्म        andraarm
अंडरएक्स्पोज़    andrekspoz
अंडरग्राउंड       andrgaraaund
अंडरटेकर        andrtekr
अंडरटेकिंग  andrtekinga
अंडरपास   andrpaas
अंडरवर्ल्ड  andrvrld
अंडरवियर        andrviyr
अंडरवुड   andrvud
अंडरस्कोर्स       andrskors
अंडरस्टैंडिंग andrstaindinga
अंडसमूह   andsmuh
अंडा    andaa
अंडाकार   andaakaar
अंडाणु      andaanu
अंडाशय      andaashy
अंडे    ande
अंडों andon
अंडोरा      andoraa
अंत       ant
अंतः    antaha
अंतःकरण   antahkrn
अंतःक्रिया  antahkriyaa
अंतःक्षेत्र       antahksetr
अंतःक्षेपण  antahksepn
अंतःपुर   antahpur
अंतःविषय        antahvisy
अंतःशिरा        antahshiraa
अंतःसंबंध     antahsnbndh
अंतःसम्पर्क       antahsamprk
अंतःसर्पी     antahsarpi
अंतःसागरी     antahsaagari
अंतःस्त्राव       antahstraav
अंतःस्थल        antahsthal
अंतःस्थलीय  antahsthaleeya
अंतःस्राव     antahsraav
अंतःस्रावी  antahsraavi
अंतक    antak
अंतकाल      antkaal
अंतत    antat
अंततः antatah
अंततोगत्वा  anttogatvaa
अंतनिर्हित  antnirhit
अंतभाग      antbhaaga
अंतर    antr
अंतरंग      antrnga
अंतरंगता        antrngataa
अंतरंगी   antarangai
अंतरगत      antargat
अंतरग्रहण     antargrahan
अंतरजातीय     antrjaatiy
अंतरजाल   antrjaal
अंतरण antaran
अंतरतम      antartam
अंतरतारकीय  antartaarkiy
अंतरपणन   antrpanan
अंतरफलक   antarfalak
अंतरबैंक        antarbaink
अंतरमहाद्वीपीय      antarmahaadvipeeya
अंतरराज्यीय       antarraajyiy
अंतरराष्ट्रीय antarraastriy
अंतरराष्ट्रीयकरण        antraraastriykaran
अंतरर्राष्ट्रीय   antarraastriy
अंतरस्थ   antarsth
अंतरा antaraa
अंतरात्मा     antaraatmaa
अंतरापर्वतीय    antaraaparvtiy
अंतरापृष्ठ  antraapristh
अंतराय      antaraay
अंतराल      antaraal
अंतरालरहित  antaraalrhit
अंतरालों        antaraalon
अंतराष्ट्रीय    antraashtriy
अंतरिक      antrik
अंतरिक्ष        antriksh
अंतरिक्षचारी    antrikshchaari
अंतरिक्षयात्री      antrikshyaatri
अंतरिक्षयान       antrikshyaan
अंतरिक्षविज्ञानशास्री antrikshvijnyaanshaasri
अंतरिक्षीय  antrikshiy
अंतरित      antrit
अंतरिम      antrim
अंतरिमकाल     antrimkaal
अंतरीप      antrip
अंतरीय      antriy
अंतरों      antron
अंतर्कार्यालयीन   antrkaaryaalyin
अंतर्कालीन  antrkaalin
अंतर्क्रिया       antrkriyaa
अंतर्गत   antrgat
अंतर्ग्रस्त       antargarst
अंतर्ग्रहण  antargrahan
अंतर्ग्रहण्       antargrahan
अंतर्ग्राहिक    antargaraahik
अंतर्जंघिका       antarjanghikaa
अंतर्जनस्तर       antarjanstar
अंतर्जात        antarjaat
अंतर्जातीय  antarjaatiy
अंतर्जाल        antarjaal
अंतर्ज्ञान  antarjnyaan
अंतर्ज्ञेयवाद antarjnyeyvaad
अंतर्तम   antartm
अंतर्तारकीय       antartaarkiy
अंतर्दर्शन  antardarshan
अंतर्दहन        antardehen
अंतर्दृष्टि       antardrishti
अंतर्देशीय  antardeshiy
अंतर्द्वंद  antardvand
अंतर्धान        antardhaan
अंतर्धारा     antardhaaraa
अंतर्निहित  antarnihit
अंतर्मन   antarman
अंतर्महाद्वीपीय   antarmhaadvipiy
अंतर्मुखता  antarmukhtaa
अंतर्मुखी     antarmukhi
अंतर्यामी     antaryaami
अंतर्राज्यीय    antarraajyiy
अंतर्राष्ट्रवादी        antarraastrvaadi
अंतर्राष्ट्रीकरण        antarraastrikrn
अंतर्राष्ट्रीय      antarraastriy
अंतर्राष्ट्रीयकरण     antarraastriykrn
अंतर्राष्ट्रीयता        antarraastriytaa
अंतर्राष्ट्रीयतावाद       antarraastriytaavaad
अंतर्राष्ट्रीयतावादी    antarraastriytaavaadi
अंतर्रोधी     antarrodhi
अंतर्वर्ती  antarvarti
अंतर्वस्तु  antarvastu
अंतर्वस्त्र       antarvastr
अंतर्वाह        antarvaah
अंतर्वाही     antarvaahi
अंतर्विभागीय    antarvibhaageeya
अंतर्विराम  antarviraam
अंतर्विरोध  antarvirodh
अंतर्विवाह  antarvivaah
अंतर्विवाही       antarvivaahi
अंतर्विषयक  anatrvisyk
अंतर्वेश        antarvesh
अंतर्वेशन     antarveshan
अंतर्संबंधों    antrsnbndhon
अंतश्छद   antshchhd
अंतहीन      anthin
अंतहीनता        anthintaa
अंताल्या        antaalyaa
अंतिम antim
अंतिमबिंदु  antimbindu
अंतिमांश        antimaansh
अंतेवासी        antaasi
अंतोनियो        antoniyo
अंत्य anty
अंत्यलक   antylk
अंत्याधार     antyaadhaar
अंत्यानुप्रास antyaanupraas
अंत्यानुप्रासवाला     antyaanupraasvaalaa
अंत्येष्टि  antyeshti
अंत्र antr
अंत्रवृद्धि       antarvriddhi
अंतड़ियां        antadiyaan
अंतड़ियों        antadiyon
अंतड़ी antadi
अंदर    andar
अंदरुनी   andaruni
अंदरूनी   andaruni
अंदाज andaaj
अंदाजा      andaajaa
अंदाज़ andaaz
अंदाज़ा      andaazaa
अंदेशा      andeshaa
अंधक    andhak
अंधकार      andhakaar
अंधकारपूर्ण       andhakaarpurn
अंधकारपूर्णता andhakaarpurntaa
अंधकारभीति  andhakaarbhiti
अंधकारमय        andhakaarmy
अंधक्षेत्र  andhaksetr
अंधड    andhad
अंधता andhataa
अंधभक्त   andhbhakt
अंधभक्ति        andhbhakti
अंधविश्वास  andhvishvaas
अंधविश्वासी       andhvishvaasi
अंधविश्वासों    andhvishvaason
अंधश्रद्धा  andhshraddhaa
अंधा    andhaa
अंधाधुंध        andhaadhundh
अंधाधुध   andhaadhudh
अंधाधुन्ध     andhaadhundh
अंधानुकरण     andhaanukarn
अंधापन      andhaapan
अंधियारा        andhiyaaraa
अंधी    andhi
अंधे    andhe
अंधेर andher
अंधेरा      andhaa
अंधेरापन        andhaapn
अंधेरी      andheri
अंधेरे      andhere
अंधों andhon
अंधड़    andhad
अंपायर      anpaayar
अंपायरिंग     anpaayringa
अंबर    anbar
अंबरीश      anbarish
अंबा    anbaa
अंबानी      anbaani
अंबार anbaar
अंबाला      ambaalaa
अंबिका      ambikaa
अंबिकापुर     anbikaapur
अंबुज ambuj
अंबुपति   ambupti
अंबेडकर   ambedkar
अंश       ansh
अंशअ    ansha
अंशकालिक        anshkaalik
अंशकालीन        anshkaalin
अंशछादन   anshchhaadn
अंशजलीय   anshjaliy
अंशत    anshat
अंशतः anshtah
अंशदाता   anshdaataa
अंशदान      anshdaan
अंशदायी   anshdaayi
अंशधारियों  anshadhaariyon
अंशधारी   anshdhaari
अंशबोधक   anshbodhak
अंशभागी   anshbhaagai
अंशशोधन   anshshodhan
अंशस्वामी     anshsvaami
अंशांकन   anshaankan
अंशांकित        anshaankit
अंशातिप्रिय       anshaatipriya
अंशिका      anshikaa
अंशु    anshu
अंशुक anshuk
अंशुमन      anshuman
अंशुमान   anshumaan
अंशुमाली        anshumaali
अंशों anshon
अंशोच्छेदन  anshochchhedan
अंसकूट      anskut
अंसपेशी   anspeshi
अंसारी      ansaari
अंसीय ansiy
अः  aah
अइसे    aise
अई  aee
अउर       aur
अऋतुक्षरित  arituksrit
अऔरत    aaurt
अकं       ank
अकथ       akath
अकथ्य akathay
अकबकाना   akbakaanaa
अकबर    akbar
अकबरपुर   akbarpur
अकबरी akbari
अकरकरा      akarkraa
अकरण    akaran
अकरणीय      akraniy
अकरम    akram
अकराबाद   akraabaad
अकर्म akarm
अकर्मक      akarmak
अकर्मण्य        akarmanay
अकर्मण्यता  akarmanytaa
अकर्मी      akarmi
अकल       akal
अकलंकता   akalanktaa
अकलंकित   akalankit
अकलंकी      akalanki
अकलबीर      akalbir
अकलमंदी   akalmandi
अकलात्मक        akalaatmk
अकल्प akalp
अकल्पनाशील  akalpanaashil
अकल्पनीय        akalpaniy
अकसर    aksar
अकसीर aksir
अकस्मात   aksmaat
अकस्माती        aksmaati
अकस्मात्        aksmaat
अकहा    akhaa
अकाउंट      akaaunt
अकाउंटेंट     akaauntent
अकाज    akaaj
अकाट्य      akaatya
अकाट्यता        akaatyataa
अकाट्यतापूर्वक      akaatytaapurvk
अकादमिक   akaadmik
अकादमियाँ     akaadmiyaan
अकादमियों     akaadmiyon
अकादमी      akaadmi
अकादेमी   akaademi
अकाधिक      akaadhik
अकाबा akaabaa
अकाम    akaam
अकारण akaarn
अकार्बनिक     akaarbnik
अकाल    akaal
अकालप्रौढ़     akaalpraurh
अकालियों        akaaliyon
अकाली akaali
अकालों      akaalon
अकिंचन      akinchn
अकिंचनता        akinchntaa
अकिण्वित        akinvit
अकिता akitaa
अकिलीज़      akiliz
अकी       aki
अकीक    akik
अकीनी akini
अकीयाई      akiyaaee
अकुल    akul
अकुला akulaa
अकुलाना   akulaanaa
अकुलाहट   akulaaht
अकुशल akushal
अकुशलता   akushaltaa
अकुशलतापूर्वक akushaltaapurvk
अकूत    akut
अकृत    akrit
अकृषित      akrishit
अकेडमी      academy
अकेला akela
अकेलापन   akelapan
अकेली akeli
अकेले akele
अकेलेपन   akelepan
अकेशिया   akeshiyaa
अकैडमी      akaidmi
अकॉर्डियन     akordiyn
अकोला akolaa
अक्कादी   akkaadi
अक्खड़ akkhad
अक्खड़पन   akkhadpan
अक्टुबर   aktubar
अक्टूबर   aktubar
अक्टूबरफ़ेस्ट    aktubarfest
अक्तुबर   aktubar
अक्तूबर   aktubar
अक्रमतः   akramatah
अक्राम्यता  akraamytaa
अक्रिय      akriya
अक्रियता        akriyataa
अक्रियात्मक       akriyaatmak
अक्रियावाद  akriyaavaad
अक्रियाशील  akriyaasheel
अक्रूर      akrur
अक्ल    akl
अक्लमंद   aklmand
अक्लमंदी        aklmandi
अक्लोम      aklom
अक्वेरियम     akveriym
अक्ष    aksh
अक्षत aksht
अक्षतंतु        akshtantu
अक्षम aksham
अक्षमता   akshmataa
अक्षमताओं     akshmataaon
अक्षमतापूर्वक akshmataapurvk
अक्षमित   akshmit
अक्षम्य   akshmy
अक्षय akshya
अक्षर akshar
अक्षरग्राम  akshargaraam
अक्षरधाम        akshardhaam
अक्षरयोजक     aksharyojak
अक्षरश      aksharsh
अक्षरशः   aksharsh
अक्षरशैली     aksharshaili
अक्षरात्मक  akshraatmk
अक्षरार्थ     akshraarth
अक्षरेखा        aksharekhaa
अक्षरों   akshron
अक्षांक्ष     akshaanksh
अक्षांश   akshaansh
अक्षांशीय     akshaanshiy
अक्षांशों     akshaanshon
अक्षि akshi
अक्षिति   akshiti
अक्षिदंत        akshidant
अक्षीय      akshiy
अक्षुण      akshun
अक्षुण्ण        akshunn
अक्षों      akson
अक्षोभ्य        aksobhya
अक्षौहिणी     akshauhini
अक्स    aks
अक्सर aksar
अक्साई      aksaaee
अक्सीर      aksir
अकड़       akad
अकड़न    akdan
अकड़ना akdanaa
अकड़नेवाला     akdanevala
अकड़बाज़      akadbaaz
अकड़ू    akadu
अकड़ैत akadait
अखंड    akhand
अखंडता      akhandtaa
अखंडनीय   akhandniy
अखंडल akhandal
अखंडित      akhandit
अखण्ड akhand
अखण्डता   akhandtaa
अखण्डित्व     akhanditv
अखती    akhati
अखबार akhbaar
अखबारी      akhbaari
अखबारों   akhbaaron
अखमीरी      akhmiri
अखय       akhya
अखयतीज      akhytij
अखर       akhr
अखरना akhranaa
अखरा    akhraa
अखरोट akhrot
अखा       akhaa
अखाडा akhaadaa
अखाद्य      akhaadya
अखाड़ा akhaadaa
अखाड़िया   akhaadiyaa
अखाड़े akhaade
अखाड़ों      akhaadon
अखियाँ      akhiyaan
अखियों      akhiyon
अखिर    akhir
अखिरी akhiri
अखिल    akhil
अखिलेन्द्र  akhilendra
अखिलेश      akhilesh
अखिलेश्वर     akhileshvar
अख्तर akhtar
अख्तियार        akhtiyaar
अख्तियारपुर       akhtiyaarpur
अग  ag
अगंभीर      aganbhir
अगणित aganit
अगत्ती      agatti
अगन       agan
अगम       agam
अगम्य agamya
अगर       agar
अगरचे agarche
अगरतला      agartalaa
अगरबत्ती        agarbatti
अगरिया      agariyaa
अगरी    agari
अगल       agal
अगला    agalaa
अगली    agali
अगले    agale
अगवा    agvaa
अगवाई agvaaee
अगवान agvaan
अगवानपुर        agvaanpur
अगवानी      agvaani
अगस्टे      agaste
अगस्त agast
अगस्त्य   agastya
अगस्त्यमुनि       agastyamuni
अगहन    agahan
अगहनी agahani
अगा       aga
अगाध    agaadh
अगार    agaar
अगासी agaasi
अगियाना   agaiyana
अगुआ    aguaa
अगुआई aguaaee
अगुण    agun
अगुवा aguvaa
अगुवाई      aguvaaee
अगेंस्ट   agaenst
अगेन    agaen
अगोचर agaochar
अगोरा agaoraa
अग्नायी   aganaayi
अग्नाशय   aganaashy
अग्नाशयकोप  aganaashykop
अग्नाशयशोथ  aganaashyshoth
अग्नि agni
अग्निकांड     agnikaand
अग्निकाण्ड  agnikaand
अग्निकुण्ड  agnikund
अग्निदाह        agnidaah
अग्निदेव        agnidev
अग्निदेवता  agnidevtaa
अग्निपथ   agnipath
अग्निपरीक्षा    agnipariksaa
अग्निपुराण  agnipuraan
अग्निपूजा     agnipujaa
अग्निबाण        agnibaan
अग्निमित्र  agnimitr
अग्निरोधक     agnirodhak
अग्निवर्ण     agnivarn
अग्निवेश        agnivesh
अग्निशमन        agnishman
अग्निसह   agnisah
अग्निसाक्षी       agnisaaksi
अग्निस्थान  agnisthaan
अग्निहोत्र  agnihotra
अग्निहोत्री       agnihotri
अग्न्यस्त्र       aganystra
अग्न्याधान  aganyaadhaan
अग्न्याशय     aganyaashy
अग्र    agar
अग्रगण्य        agargany
अग्रगामी        agargaaami
अग्रग्रामी  agargaraami
अग्रचिंता     agarchintaa
अग्रज agarj
अग्रजा      agarjaa
अग्रणी      agarni
अग्रदल      agardl
अग्रदाय   agardaay
अग्रदूत   agardut
अग्रदूती        agarduti
अग्रदूतीय     agardutiy
अग्रदूतों     agarduton
अग्रपाद   agarpaad
अग्रपीयूषिकाग्रंथि  agrapiyusikaagarnthi
अग्रभाग   agrabhaaga
अग्रभूमि        agrabhumi
अग्रवानी        agravaani
अग्रवाल   agravaal
अग्रवाही        agravaahi
अग्रसर      agrasar
अग्रसरना        agarsarnaa
अग्रसारित     agarsaarit
अग्रसेन   agarsen
अग्रहरि   agarhri
अग्रहार   agrahaar
अग्रांग   agraanga
अग्रानुक्रम       agraanukrm
अग्रि agri
अग्रिम      agrim
अग्रिमराशि  agrimraashi
अग्रिमों        agrimon
अग्रे agre
अग्रेजी   agreji
अग्रेषण   agraesn
अग्रेषित        agraeshit
अघन       aghan
अघरिया      aghriyaa
अघात    aghaat
अघाना aghaanaa
अघावना      aghaavnaa
अघिक    aghik
अघिकारी   aghikaari
अघुलनशील        aghulnshil
अघोर    aghor
अघोरी aghori
अघोषित      aghoshit
अचंभा achambhaa
अचंभित      achambhit
अचंभे achambhe
अचकन    achkan
अचक्रीय   achkriya
अचतुर achatur
अचम्भा      achambhaa
अचम्भित   achambhit
अचम्भे      achambhe
अचयनित      achyanit
अचर       achar
अचरज    acharaj
अचरितार्थ     acharitaarth
अचल       achal
अचलता achaltaa
अचला    achalaa
अचलेश्वर        achleshvar
अचानक achaanak
अचार    achaar
अचिंतित   achintit
अचिकित्स्य  achikitsy
अचित्रणीय     achitrniy
अचित्रित        achitrit
अचिह्नित        achihnit
अचीवमेंट        achivment
अचूक    achuk
अचेत    achet
अचेतन achetn
अचेतना      achetnaa
अचेतावस्था  achaavsthaa
अच्       ach
अच्छ    achchh
अच्छत achchht
अच्छा achchhaa
अच्छाइयों     achchhaaiyon
अच्छाई      achchhaaee
अच्छापन   achchhaapan
अच्छी achchhi
अच्छेपन   achchhepn
अच्युत      achyut
अछिद्र      achhidr
अछिद्रित        achhidrit
अछूत    achhut
अछूता achhutaa
अछूती achhuti
अछूते achhute
अछूतों      achhuton
अछेदित      achhedit
अछेद्य      achhedy
अज  aj
अजंता ajantaa
अजगर    ajgar
अजटिल ajtil
अजनबियों        ajnabiyon
अजनबी ajnabi
अजनबीपन   ajnabipan
अजन्ता      ajantaa
अजन्म ajanm
अजन्मा      ajanmaa
अजन्मे      ajanme
अजमल    ajmal
अजमाद ajmaad
अजमेर ajmer
अजमेरी      ajmeri
अजमोद ajmod
अजय       ajy
अजयगढ़ ajygarh
अजयपाल      ajypaal
अजर       ajr
अजरबैजान        ajrbaijaan
अजवाइन      ajvaain
अजवायन      ajvaayn
अजस्र ajasr
अजहरुद्दीन  ajahruddin
अजा       ajaa
अजाक्स      ajaaks
अजात    ajaat
अजातशत्रु     ajaatshtru
अजाति ajaati
अजान    ajaan
अजानपन      ajaanpn
अजाने ajaane
अजामिल      ajaamil
अजायबघर   ajaaybghr
अजित    ajit
अजिताभ      ajitaabh
अजिन    ajin
अजी       aji
अजीज    ajij
अजीजपुर   ajijpur
अजीत    ajit
अजीतगढ़      ajitgarh
अजीब    ajib
अजीबपन      ajibpn
अजीबो ajibo
अजीबोगरीब     ajibogarib
अजीबोग़रीब     ajibogarib
अजीम    ajim
अजीमाबाद        ajimabaad
अजीरा ajiraa
अजीर्ण      ajirn
अजीर्णता        ajirntaa
अजीव    ajiv
अजूबा ajubaa
अजूबे ajube
अजूरा ajuraa
अजेय    ajey
अजेयता      ajeytaa
अजैव    ajaiv
अजैविक      ajaivik
अज्ञ    ajny
अज्ञात      ajnyaat
अज्ञातजनभीति    ajnyaatjnbhiti
अज्ञातवास     ajnyaatvaas
अज्ञातव्यक्तिभीत        ajnyaatvyktibhit
अज्ञातहेतुक       ajnyaathetuk
अज्ञान      ajnyaan
अज्ञानकृत     ajnyaankrit
अज्ञानता        ajnyaantaa
अज्ञानतापूर्वक      ajnyaantaapurvk
अज्ञानतावश  ajnyaantaavsh
अज्ञानपन        ajnyaanpn
अज्ञानि   ajnyaani
अज्ञानी   ajnyaani
अज्ञेय      ajnyey
अज्ञेयता        ajnyeytaa
अज्ञेयवाद     ajnyeyvaad
अज्ञेयवादी  ajnyeyvaadi
अज्नानता        ajnaantaa
अट  at
अटंबर atnbar
अटकना ataknaa
अटकल    atkal
अटकलबाजी        atkalbaaji
अटकलबाज़   atkalbaaz
अटकलबाज़ी        atklbaazi
अटकलें      atklen
अटकलों      atklon
अटका    atkaa
अटकाना      atkaanaa
अटके    atke
अटन       atan
अटना    atnaa
अटपटा atptaa
अटपटी atpati
अटरिया      atriyaa
अटर्नी      atarni
अटल       atal
अटलजी atalji
अटलबिहारी     atalbihaari
अटलांटा   atlaantaa
अटलांटिक        atlaantik
अटलांटिकमहासागर   atlaantikmahasagar
अटलांटिस        atlaantis
अटवी    atvi
अटाटूट      ataatut
अटापट्टू        ataapttu
अटारी ataari
अटार्नी   ataarni
अटाला ataalaa
अटूट    atut
अटेंडेंट        atendent
अटैक    ataik
अटैची ataichi
अटॉर्नी   atorni
अट्टहास   atthaas
अट्टालिका     attaalikaa
अट्टी atti
अट्ठकथा   atthkthaa
अट्ठाईस   atthaaees
अट्ठारह   atthaarh
अट्ठारहवीं  atthaarhvi
अठखेलियां     athkheliyaan
अठन्नी      athanni
अठरीय athriy
अठवाँसा   athvaansaa
अठारह athaarha
अठारहवां        athaarhvaan
अठारहवीं        athaarhvin
अठारहवें        athaarhven
अठास्सी   athaassi
अठौड़ी athaudi
अडंगा adangaaa
अडक       adak
अडाना adana
अडिग    adiga
अडियल adiyla
अडीग    adiga
अडूसा adusaa
अडैप्टर   adaiptar
अडोबी adobi
अडोल    adol
अड्डा addaa
अड्डे adde
अड्डों      addon
अड्रेस      adres
अणिमा animaa
अणु       anu
अणुओं anuon
अणुभार      anubhaar
अणुव्रत   anuvrt
अणुसूत्र        anusutra
अण्टकोनीय     antkoniya
अण्टीगुआ        antigauaa
अण्ड    and
अण्डज andja
अण्डपीत   andapit
अण्डमान   andmaan
अण्डवक्र        andvakr
अण्डा andaa
अण्डाकार        andaakaar
अण्डाशय   andaashy
अण्डे ande
अण्डों      andon
अण्डोत्सर्ग       andotsarga
अण्णा annaa
अत  at
अतंरराष्ट्रीय antarraastriy
अतंर्राष्ट्रीय      antarraastriy
अतः       atah
अतएव    atev
अतत्पर      attpr
अतनु    atnu
अतर       atar
अतरिक्त   atrikt
अतरौरा      atrauraa
अतरौली      atrauli
अतर्कसंगत     atrksngat
अतल       atl
अतलस    atls
अतलांतिक        atlaantik
अता       ataa
अताईपुर   ataaeepur
अतातुर्क        ataaturk
अतारांकित     ataaraankit
अतार्किक        ataarkik
अति       ati
अतिआवश्यक     atiaavashyk
अतिकाल      atikaal
अतिक्रम   atikram
अतिक्रमण        atikraman
अतिक्रमणकारी    atikramnkaari
अतिक्रमी        atikrami
अतिक्रांत     atikraant
अतिक्रामक     atikraamak
अतिक्रामी     atikraami
अतिघृणा   atighrinaa
अतिचतुर   atichtur
अतिचार      atichaar
अतिचारी   atichaari
अतिचालक   atichaalak
अतिचालकता     atichaalktaa
अतिथि atithi
अतिथिगृह        atithigrih
अतिथियों        atithiyon
अतिथिशाला     atithishaalaa
अतिदुष्ट        atidusht
अतिदेय      atideya
अतिदेय      atideya
अतिधार्मिक  atidhaarmik
अतिधार्मिकता    atidhaarmiktaa
अतिनूतन   atinutan
अतिनैष्ठिक  atinaisthik
अतिनैष्ठिकता    atinaisthiktaa
अतिपरवलीय     atiparvliya
अतिपराध्वनिक    atipraadhvnik
अतिपरासारी  atiprasari
अतिप्रजन        atiprajan
अतिप्रतापी  atipratapi
अतिप्रवाह     atipravaah
अतिप्रवीण     atipravin
अतिप्रशंसा  atiprashansaa
अतिप्रसन्न  atiprasann
अतिप्राकलन  atipraakln
अतिप्राकृत  atipraakrit
अतिप्राकृतिक    atipraakritik
अतिप्राकृतिकता      atipraakritiktaa
अतिप्रिय        atipriy
अतिबल atibl
अतिबुकिंग     atibukinga
अतिभार      atibhaar
अतिमानव   atimaanv
अतिमानवीय     atimaanviy
अतियथार्थवाद    atiythaarthvaad
अतियथार्थवादी atiythaarthvaadi
अतिरंजन   atirnjn
अतिरंजना        atirnjnaa
अतिरंजनापूर्ण atirnjnaapurn
अतिरंजित        atirnjit
अतिरंज्नापूर्ण      atirnjnaapurn
अतिरिक्त        atirikt
अतिरिक्तता  atirikttaa
अतिरूढ़िवादी       atirurhivaadi
अतिरेक      atirek
अतिरेकना        atireknaa
अतिलंघन   atilnghn
अतिलोभी   atilobhi
अतिलोलुप        atilolup
अतिवातायनता       ativaataayntaa
अतिवाद      ativaad
अतिवादी   ativaadi
अतिविशाल        ativishaal
अतिविश्वास  ativishvaas
अतिविश्वासी       ativishvaasi
अतिवृद्धि     ativriddhi
अतिवृष्टि     ativristi
अतिव्यय   ativyy
अतिव्ययी        ativyyi
अतिव्याकुलता    ativyaakultaa
अतिव्याप्त  ativyaapt
अतिव्याप्ति       ativyaapti
अतिशय atishy
अतिशयोक्ति  atishyokti
अतिशयोक्तिपूर्ण   atishyoktipurn
अतिशयोक्त्तिपूर्ण     atishyokttipurn
अतिशीघ्र        atishighr
अतिशेष      atishes
अतिशोषण   atishosn
अतिश्योक्ति       atishyokti
अतिसंवाहक     atisnvaahk
अतिसंवाहकता       atisnvaahktaa
अतिसंवेदनशीलता      atisnvednshiltaa
अतिसंवेदी     atisnvedi
अतिसार      atisaar
अतिसारीय        atisaariy
अतीत    atit
अतीन्द्रिय  atindriy
अतीव    ativ
